program, simb_program
nome1, ident
;, simb_ponto_virgula
var, simb_var
a, ident
,, simb_virgula
a1, ident
,, simb_virgula
b, ident
:, simb_dp
integer, simb_tipo
;, simb_ponto_virgula
begin, simb_begin
read, simb_read
(, simb_apar
a, ident
), simb_fpar
;, simb_ponto_virgula
a1, ident
:=, simb_atribuicao
a1, ident
*, simb_vezes
2, num_inteiro
;, simb_ponto_virgula
while, simb_while
(, simb_apar
a1, ident
>, simb_maior
0, num_inteiro
), simb_fpar
do, simb_do
begin, simb_begin
write, simb_write
(, simb_apar
a1, ident
), simb_fpar
;, simb_ponto_virgula
a1, ident
:=, simb_atribuicao
a1, ident
-, simb_menos
1, num_inteiro
;, simb_ponto_virgula
end, simb_end
;, simb_ponto_virgula
for, ident
b, ident
:=, simb_atribuicao
1, num_inteiro
to, simb_to
10, num_inteiro
do, simb_do
begin, simb_begin
b, ident
:=, simb_atribuicao
b, ident
+, simb_mais
2, num_inteiro
;, simb_ponto_virgula
a, ident
:=, simb_atribuicao
a, ident
-, simb_menos
1, num_inteiro
;, simb_ponto_virgula
end, simb_end
;, simb_ponto_virgula
if, simb_if
a, ident
<>, simb_dif
b, ident
then, simb_then
write, simb_write
(, simb_apar
a, ident
), simb_fpar
;, simb_ponto_virgula
end, simb_end
., simb_ponto
